The following numeric ID's can be used in the quest creation ini file to add your quests to these pages. 



/Main Story
MCMPageMain             0
MCMPageMainCW           1
MCMPageMainDG           2
MCMPageMainDB           3

/Creation CLub
MCMPageMainFarming      4
MCMPageMainCreations    15
MCMPageMainCreations    26

/Towns & Cities
MCMPageMainDawnstar     7
MCMPageMainFalkreath    8
MCMPageMainMarkarth     9
MCMPageMainMorthal      10
MCMPageMainRavenRock    16
MCMPageMainRiften       11
MCMPageMainSkaal        17
MCMPageMainSolitude     12
MCMPageMainTelMithryn   18
MCMPageMainThirsk       19
MCMPageMainWhiterun     13
MCMPageMainWindhelm     14
MCMPageMainWinterhold   15
MCMPageMainSmall        20

/Guilds & Factions
MCMPageMainCompanions   22
MCMPageMainCollege      21
MCMPageMainThieves      25
MCMPageMainBrotherhood  23
MCMPageMainDawnguard    24
MCMPageMainVampires     26

/Dungeons & Side Quests
MCMPageMainDungeons     27
MCMPageMainMiscSide     28
MCMPageMainMiscRadi     29
MCMPageMainMiscDG       30
MCMPageMainMiscDB       31

/Legacy of the Dragonborn
MCMPageMuseum           52
MCMPageExplorer         56
MCMPageMisc             53
MCMPageNotes            54
MCMPageJournals         55

/3DNPC
MCMPage3DNPCMain        44
MCMPage3DNPCBlood       45
MCMPage3DNPCSteel       46
MCMPage3DNPCMisc        47

/Vigilant
MCMPageVigilantMain     48
MCMPageVigilantSide     49
MCMPageVigilantMemory   50
MCMPageVigilantRadiant  51

/Misc Mods
MCMPageClockwork        32
MCMPageFalskaar         33
MCMPageHelgen           34
MCMPageMoonpath         35
MCMPageMoonStar         36
MCMPageProjectAHO       37
MCMPageTeldrynSerious   38
MCMPageBrotherhood      43
MCMPageLull             39
MCMPageGrayCowl         40
MCMPageUndeath          42
MCMPageWyrmstooth       41
