cTranslate_MCMNameBSB			|Beyond Skyrim: Bruma

cTranslate_SectionHeaderITEM	|Items:
cTranslate_SectionHeaderBOOK	|Books:
cTranslate_SectionHeaderWEAP	|Weapons:
cTranslate_SectionHeaderARMO	|Armor:
cTranslate_SectionHeaderFOOD	|Food:
cTranslate_SectionHeaderJEWL	|Jewelry:
cTranslate_SectionHeaderSHIL	|Shields:
cTranslate_SectionHeaderMISC	|Miscellaneous:
cTranslate_SectionHeaderCLUT	|Pots and Bowls:
cTranslate_SectionHeaderQUST	|Quests:
cTranslate_SectionHeaderLCNT	|Locations:
cTranslate_SectionHeaderPOTI	|Potions:
cTranslate_SectionHeaderPOIS	|Poisons:
cTranslate_SectionHeaderINGR	|Ingredients:
cTranslate_SectionHeaderTOME	|Spell Tomes:
cTranslate_SectionHeaderKEYS	|Keys:

cTranslate_SectionHeaderC		|Completed
cTranslate_SectionHeaderD		|Discovered
cTranslate_SectionHeaderF		|Found
cTranslate_SectionHeaderR		|Read

cTranslateItemNameFRODA			|Frostcrag Ayleid Dagger

cTranslate_MultiPageName1		|Quests
cTranslate_MultiPageName2		|Weapons
cTranslate_MultiPageName3		|Armor & Jewelry
cTranslate_MultiPageName4		|Books I
cTranslate_MultiPageName5		|Books II
cTranslate_MultiPageName6		|Food
cTranslate_MultiPageName7		|Ingredients I
cTranslate_MultiPageName8		|Ingredients II
cTranslate_MultiPageName9		|Pots and Bowls
cTranslate_MultiPageName10		|Misc
cTranslate_MultiPageName11		|Locations

cTranslate_QuestName01			|Absent Antiquity
cTranslate_QuestText01			|Find some stolen Akaviri artifacts.
cTranslate_QuestName02			|A Delicate Situation
cTranslate_QuestText02			|Help the Captain of the Guard deal with some Talos worshippers.
cTranslate_QuestName03			|Against the Cutters
cTranslate_QuestText03			|Eliminate the toughest criminal gang in County Bruma.
cTranslate_QuestName04			|Service Rewarded
cTranslate_QuestText04			|Receive your reward for all you have done for Bruma.
cTranslate_QuestName05			|Alammu's Veil
cTranslate_QuestText05			|Reunite a poor Dark Elf with her family heirloom.
cTranslate_QuestName06			|Blade of the Cutpurse
cTranslate_QuestText06			|Help Ereia Snow-Fist or Garceus Avoci deal with a bandit gang.
cTranslate_QuestName07			|Cerendil's Accusations
cTranslate_QuestText07			|Protect the reputation of a questionable tavern.
cTranslate_QuestName08			|Dar'taqto's Reputation
cTranslate_QuestText08			|Help a poor cat burglar clear his name.
