----------------------------------------------------------------------------
-- To change the localised text simply change the text after the single '|'
-- Do not change anything in the 'Keys' collumn or the translation will fail
-- Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

- DO NOT CHANGE

MODNAME1						|Completionist: Tracker (Main)
MODNAME2						|Completionist: Tracker (Misc)

- Translations Start Here
----------------------------------------------------------------------------
-KEYS							Translation
----------------------------------------------------------------------------
AetherialRewardText				|Note: This entry will complete when you collect one of the valid items in the quest "Lost to the Ages".\nValid Items: Aetherial Crown | Aetherial Shield | Aetherial Staff
DeadraBestFriendRewardText		|Note: This entry will complete when you collect one of the valid items in the quest "A Daedra's Best Friend".\nValid Items: The Rueful Axe | Masque of Clavicus Vile
IllMetByMoonlightRewardText		|Note: This entry will complete when you collect one of the valid items in the quest "Ill Met By Moonlight".\nValid Items: Ring of Hircine | Ring of Hircine (Cursed) | Savior's Hide
TheBlackStarRewardText			|Note: This entry will complete when you collect one of the valid items in the quest "The Black Star".\nValid Items: Azura's Star | The Black Star
CidhnaMineRewardText			|Note: This entry will complete when you collect one of the valid items in the quest "No One Escapes Cidhna Mine".\nValid Items: Armor of the Old Gods | Silver-Blood Family Ring
CivilWarRewardText				|Note: This entry will complete when you collect one of the valid items in the civil war quest line.\nValid Items: General Tullius' Armor | Ulfric's Clothes
----------------------------------------------------------------------------
Category_Item					|Item: 
Category_Book					|Book: 
Category_MapP					|Location: 
Category_Shou					|Shout: 
Category_Ench					|Enchantment: 
Category_Home					|Player Home: 
Category_Pets					|Pet: 
Category_Claw					|Dragon Claw: 
Category_Fish					|Fish: 
Category_Mask					|Dragon Priest Mask: 
Category_Shrine					|Shrine: 
Category_Stones					|Standing Stone: 
Category_Skyshard				|Skyshard: 
Category_Quest					|Quest: 
----------------------------------------------------------------------------
V_ShoutText00					|~~~ Animal Allegiance ~~~\nWord 1: Ancient's Ascent, Word 2: Angarvunde, Word 3: Ysgramor's Tomb (Quest Locked)
V_ShoutText01					|~~~ Aura Whisper ~~~\n Word 1: Northwind Summit, Word 2: Valthume, Word 3: Volunruud
V_ShoutText02					|~~~ Battle Fury ~~~\n Vahlok's Tomb: All words learned together (lost Legacy)
V_ShoutText03					|~~~ Become Ethereal ~~~\n Word 1: Ironbind Barrow, Word 2: Lost Valley Redoubt, Word 3: Ustengrav (Quest Locked)
V_ShoutText04					|~~~ Bend Will ~~~\n Word 1: Saering's Watch , Word 2: Taught to you by Hermaeus Mora (The Path of Knowledge) , Word 3: Taught to you by Hermaeus Mora (The Gardener of Men)
V_ShoutText05					|~~~ Call Dragon ~~~\n High Hrothgar: All words learned together (The Fallen)
V_ShoutText06					|~~~ Call of Valor ~~~\n Sovngarde: All words learned together (Dragonslayer)
V_ShoutText07					|~~~ Clear Skies ~~~\n High Hrothgar: All words learned together (The Throat of the World)
V_ShoutText08					|~~~ Cyclone ~~~\n Word 1: Benkongerike, Word 2: Kolbjorn Barrow, Word 3: White Ridge Sanctum
V_ShoutText09					|~~~ Disarm ~~~\n Word 1: Eldersblood Peak, Word 2: Silverdrift Lair, Word 3: Snow Veil Sanctum (Quest Locked)
V_ShoutText10					|~~~ Dismay ~~~\n Word 1: Dead Crone Rock, Word 2: Lost Tongue Overlook, Word 3: Shalidor's Maze
V_ShoutText11					|~~~ Dragon Aspect ~~~\n Word 1: Apocrypha (Waking Dreams), Word 2: Raven Rock Mine, Word 3: Temple of Miraak
V_ShoutText12					|~~~ Dragonrend ~~~\n Throat of the World: (Alduin's Bane)
V_ShoutText13					|~~~ Drain Vitality ~~~\n Word 1: Arcwind Point, Word 2: Dimhollow Crypt (Quest Locked), Word 3: Forgotten Vale (Quest Locked)
V_ShoutText14					|~~~ Elemental Fury ~~~\n Word 1: Dragontooth Crater, Word 2: Shriekwind Bastion, Word 3: Statue to Meridia
V_ShoutText15					|~~~ Fire Breath ~~~\n Word 1: Dustman's Cairn (Quest Locked), Word 2: Sunderstone Gorge, Word 3: Throat of the World (The Throat of the World)
V_ShoutText16					|~~~ Frost Breath ~~~\n Word 1: Bonestrewn Crest, Word 2: Folgunthur, Word 3: Skyborn Altar
V_ShoutText17					|~~~ Ice Form ~~~\n Word 1: Frostmere Crypt, Word 2: Mount Anthor, Word 3: Saarthal (Quest Locked)
V_ShoutText18					|~~~ Kyne's Peace ~~~\n Word 1: Ragnvald, Word 2: Rannveig's Fast, Word 3: Shroud Hearth Barrow
V_ShoutText19					|~~~ Marked for Death ~~~\n Word 1: Autumnwatch Tower, Word 2: Dark Brotherhood Sanctuary (Quest Locked), Word 3: Forsaken Cave
V_ShoutText20					|~~~ Slow Time ~~~\n Word 1: Hag's End, Word 2: Korvanjund (Quest Locked), Word 3: Labyrinthian (Quest Locked)
V_ShoutText21					|~~~ Soul Tear ~~~\n Durnehviir teaches you a word each time you summon him from the Soul Cairn
V_ShoutText22					|~~~ Storm Call ~~~\n Word 1: Forelhost, Word 2: High Gate Ruins, Word 3: Skuldafn Temple (Quest Locked)
V_ShoutText23					|~~~ Summon Durnehviir ~~~\n Soul Cairn: All words learned together (Beyond Death)
V_ShoutText24					|~~~ Throw Voice ~~~\n Shearpoint: All words learned together
V_ShoutText25					|~~~ Unrelenting Force ~~~\n Word 1: Bleak Falls Sanctum (Quest Locked), Word 2: High Hrothgar (The Way of the Voice), Word 3: High Hrothgar (The Horn of Jurgen Windcaller)
V_ShoutText26					|~~~ Whirlwind Sprint ~~~\n Word 1: Dead Men's Respite, Word 2: High Hrothgar (The Way of the Voice), Word 3: Volskygge
----------------------------------------------------------------------------
MiscDataShout_FSK_Data			|~~~ Champion's Spirit ~~~\nWord 1: Grimrott Grotto, Word 2: Dragonbone Perch, Word 3: Watervine Chasm \nShout added by Falskaar
MiscDataShout_WYR_Data			|~~~ Phantom Form ~~~\nWord 1: Wyrmstooth Barrow, Word 2: Haetar's Cave, Word 3: Fort Valus \nShout added by Wyrmstooth
MiscDataShout_FFT_Data			|~~~ Phantom Form ~~~\nWord 1: Yngol Barrow Exit, Word 2: Hillgrund's Tomb, Word 3: North of Ansilvund \nShout added by Forceful Tongue - Shouts Overhaul
MiscDataShout_FFTWYR_Data		|~~~ Phantom Form ~~~\nWord 1: Wyrmstooth Barrow, Word 2: Haetar's Cave, Word 3: Fort Valus \nShout added by Forceful Tongue - Shouts Overhaul (Wyrmstooth Patch Detected)
MiscDataShout_SC1_Data			|~~~ Lightning Breath ~~~\nWord 1: Yngvild's Gulf, Word 2: East of Dushnikh Yal, Word 3: Southern Solstheim \nShout added by Stormcrown
MiscDataShout_SC2_Data			|~~~ Poison Breath ~~~\nWord 1: Bleakcoast Cave, Word 2: Solstheim's Snowclad Ruins, Word 3: Swamps of Morthal \nShout added by Stormcrown
----------------------------------------------------------------------------
T_ShoutText00					|~~~ Alessia's Love ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText01					|~~~ Annihilate ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText02					|~~~ Arcane Helix ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText03					|~~~ Armageddon ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText04					|~~~ Curse ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText05					|~~~ Dance of the Dead ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText06					|~~~ Earthquake ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText07					|~~~ Essence Rip ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText08					|~~~ Evocation ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText09					|~~~ Geomagnetism ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText10					|~~~ Iceborn ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText11					|~~~ Jone's Shadow ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText12					|~~~ Kingsbane ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText13					|~~~ Lifestream ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText14					|~~~ Lightning Shield ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText15					|~~~ Oblivion ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText16					|~~~ Phantom Decoy ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText17					|~~~ Riftwalk ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText18					|~~~ Shattersphere ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText19					|~~~ Shor's Wrath ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText20					|~~~ Shroud of Snowfall ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText21					|~~~ Speak Unto The Stars ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText22					|~~~ Splinter Twins ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText23					|~~~ Stormblast ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText24					|~~~ The Conqueror ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText25					|~~~ Trueshot ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText26					|~~~ Wail of the Banshee ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText27					|~~~ Wanderlust ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
T_ShoutText28					|~~~ Warcry ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild  
----------------------------------------------------------------------------
Barenziah_Name00				|Ansilvund
Barenziah_Name01				|Black-Briar Lodge
Barenziah_Name02				|College of Winterhold
Barenziah_Name03				|Dainty Sload
Barenziah_Name04				|Dark Brotherhood Sanctuary
Barenziah_Name05				|Dead Crone Rock
Barenziah_Name06				|Fellglow Keep
Barenziah_Name07				|Hob's Fall Cave
Barenziah_Name08				|Treasury House
Barenziah_Name09				|Dwemer Museum
Barenziah_Name10				|Pinewatch
Barenziah_Name11				|Rannveig's Fast
Barenziah_Name12				|Mistveil Keep
Barenziah_Name13				|Blue Palace
Barenziah_Name14				|Proudspire Manor
Barenziah_Name15				|Stony Creek Cave
Barenziah_Name16				|Sunderstone Gorge
Barenziah_Name17				|Thalmor Embassy
Barenziah_Name18				|Hall of the Dead
Barenziah_Name19				|Dragonsreach
Barenziah_Name20				|Jorrvaskr
Barenziah_Name21				|House of Clan Shatter-Shield
Barenziah_Name22				|Palace of the Kings
Barenziah_Name23				|Yngvild
----------------------------------------------------------------------------
Barenziah_Text00				|~~~ Ansilvund ~~~\n This Stone of Barenziah can be located on the table at the end of the Ansilvund Burial Chambers.
Barenziah_Text01				|~~~ Black-Briar Lodge ~~~\n This Stone of Barenziah can be located in the top floor bedroom, next to the bed.
Barenziah_Text02				|~~~ College of Winterhold ~~~\n This Stone of Barenziah can be located in the Arch-Mage Quarters.
Barenziah_Text03				|~~~ Dainty Sload ~~~\n This Stone of Barenziah can be located in the last room on the table.
Barenziah_Text04				|~~~ Dark Brotherhood Sanctuary ~~~\n This Stone of Barenziah can be located on the dresser in Astrid's room.
Barenziah_Text05				|~~~ Dead Crone Rock ~~~\n This Stone of Barenziah can be located on the stone altar opposite the Word Wall.
Barenziah_Text06				|~~~ Fellglow Keep ~~~\n This Stone of Barenziah can be located straight up the stairs on the right hand side.
Barenziah_Text07				|~~~ Hob's Fall Cave ~~~\n This Stone of Barenziah can be located near the alchemy set under the bridge in the northwestern part of the cave system.
Barenziah_Text08				|~~~ Treasury House ~~~\n This Stone of Barenziah can be located in the Treasury House on a bedside table in Thonar's bedroom.
Barenziah_Text09				|~~~ Dwemer Museum ~~~\n This Stone of Barenziah can be located in Understone Keep's Dwemer Museum, on a table in the first room to the left
Barenziah_Text10				|~~~ Pinewatch ~~~\n This Stone of Barenziah can be located in the basement, press the hidden button to the right of the bookcase which provides access to the bandit's hideout, the stone is found in a locked room in the Bandit's Sanctuary.
Barenziah_Text11				|~~~ Rannveig's Fast ~~~\n This Stone of Barenziah can be located next to the alchemy lab and chest on the right after falling down the trapdoor in front of the chest and the Word Wall.
Barenziah_Text12				|~~~ Mistveil Keep ~~~\n This Stone of Barenziah can be located in Mistveil Keep in the Jarl's bedroom, go up the stairs and through the locked center door. It will be on the end table left of the bed.
Barenziah_Text13				|~~~ Blue Palace ~~~\n This Stone of Barenziah can be located in the Blue Palace in the Jarl's bedroom, right side of the bed on top of the wardrobe.
Barenziah_Text14				|~~~ Proudspire Manor ~~~\n This Stone of Barenziah can be located in Proudspire Manor. You must first purchase the house and the stone can be found on the top floor in the master bedroom, on top of the wardrobe behind the door.
Barenziah_Text15				|~~~ Stony Creek Cave ~~~\n This Stone of Barenziah can be located on the table next to the alchemy lab in the room off to the side.
Barenziah_Text16				|~~~ Sunderstone Gorge ~~~\n This Stone of Barenziah can be located on the table with two bodies in front of the Word Wall.
Barenziah_Text17				|~~~ Thalmor Embassy / Reeking Cave ~~~\n This Stone of Barenziah can be located in the Thalmor Embassy in Elenwen's Solar on the second floor. or inside Reeking Cave next to a corpse in the back depending on your Skyrim Version.
Barenziah_Text18				|~~~ Hall of the Dead ~~~\n This Stone of Barenziah can be located inside the Hall of the Dead Catacombs, go down the left stairs and it will be to your left, next to a skeleton.
Barenziah_Text19				|~~~ Dragonsreach ~~~\n This Stone of Barenziah can be located in Dragonsreach in the Jarl's bedroom, on the right-hand end table.
Barenziah_Text20				|~~~ Jorrvaskr ~~~\n This Stone of Barenziah can be located in Jorrvaskr's living quarters, on the bookshelf in Kodlak's room.
Barenziah_Text21				|~~~ House of Clan Shatter-Shield ~~~\n This Stone of Barenziah can be located in the House of Clan Shatter-Shield, on a bookshelf in the room to the left of the top of the stairs.
Barenziah_Text22				|~~~ Palace of the Kings ~~~\n This Stone of Barenziah can be located in the Palace of the Kings Upstairs. Take the first door to the left upon entering the main palace area, then find Wuunferth's room with an Alchemy Lab & Arcane Enchanter at the end of the hall. The stone is on a table on the right side of the room.
Barenziah_Text23				|~~~ Yngvild ~~~\n This Stone of Barenziah can be located in the bedroom behind the throne in Yngvild Throne room.
----------------------------------------------------------------------------
