----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|A Second Chance
MSQ_Quest01					|Live Another Life
MSQ_Quest02					|Unbound
MSQ_Quest03					|Before the Storm
MSQ_Quest04					|Bleak Falls Barrow
MSQ_Quest05					|Dragon Rising
MSQ_Quest06					|The Way of the Voice
MSQ_Quest07					|The Horn of Jurgen Windcaller
MSQ_Quest08					|A Blade in the Dark
MSQ_Quest09					|Diplomatic Immunity
MSQ_Quest10					|A Cornered Rat
MSQ_Quest11					|Alduin's Wall
MSQ_Quest12					|The Throat of the World
MSQ_Quest13					|Elder Knowledge
MSQ_Quest14					|Alduin's Bane
MSQ_Quest15					|The Fallen
MSQ_Quest16					|Season Unending
MSQ_Quest17					|Paarthurnax
MSQ_Quest18					|The World-Eater's Eyrie
MSQ_Quest19					|Sovngarde
MSQ_Quest20					|Dragonslayer
----------------------------------------------------------------------------
CWQuest00					|Joining the Legion
CWQuest01					|The Jagged Crown
CWQuest02					|Message to Whiterun
CWQuest03					|Battle for Whiterun
CWQuest04					|Reunification of Skyrim
CWQuest05					|Battle for Windhelm
CWQuest06					|A False Front
CWQuest07					|Compelling Tribute
CWQuest08					|Get Outfitted
CWQuest09					|Rescue from Fort Kastav
CWQuest10					|The Battle for Fort Amol
CWQuest11					|The Battle for Fort Dunstad
CWQuest12					|The Battle for Fort Greenwall
CWQuest13					|The Battle for Fort Neugrad
CWQuest14					|The Battle for Fort Snowhawk
CWQuest15					|The Battle for Fort Sungard
CWQuest16					|Joining the Stormcloaks
CWQuest17					|The Jagged Crown
CWQuest18					|Message to Whiterun
CWQuest19					|Battle for Whiterun
CWQuest20					|Liberation of Skyrim
CWQuest21					|Battle for Solitude
CWQuest22					|A False Front
CWQuest23					|Compelling Tribute
CWQuest24					|Rescue from Fort Neugrad
CWQuest25					|The Battle for Fort Dunstad
CWQuest26					|The Battle for Fort Greenwall
CWQuest27					|The Battle for Fort Hraggstad
CWQuest28					|The Battle for Fort Kastav
CWQuest29					|The Battle for Fort Snowhawk
CWQuest30					|The Battle for Fort Sungard
----------------------------------------------------------------------------
Main_DG_Quest00				|Dawnguard
Main_DG_Quest01				|Awakening
Main_DG_Quest02				|Bloodline
Main_DG_Quest03				|A New Order
Main_DG_Quest04				|Prophet
Main_DG_Quest05				|The Bloodstone Chalice
Main_DG_Quest06				|Prophet
Main_DG_Quest07				|Chasing Echoes
Main_DG_Quest08				|Scroll Scouting
Main_DG_Quest09				|Beyond Death
Main_DG_Quest10				|Seeking Disclosure
Main_DG_Quest11				|Unseen Visions
Main_DG_Quest12				|Touching the Sky
Main_DG_Quest13				|Kindred Judgment
----------------------------------------------------------------------------
Main_DB_Quest00				|Dragonborn
Main_DB_Quest01				|The Temple of Miraak
Main_DB_Quest02				|The Fate of the Skaal
Main_DB_Quest03				|Cleansing the Stones
Main_DB_Quest04				|The Path of Knowledge
Main_DB_Quest05				|The Gardener of Men
Main_DB_Quest06				|At the Summit of Apocrypha
----------------------------------------------------------------------------
Dawnstar_Quest00			|Kill the Giant (Skald)
Dawnstar_Quest01			|Pieces of the Past
Dawnstar_Quest02			|Waking Nightmare
Dawnstar_Quest03			|Salty Sea-Dogs
Dawnstar_Quest04			|Dungeon Delving (Frida)
Dawnstar_Quest05			|Have a drink (Karl)
Dawnstar_Quest06			|Rare Gifts (Rustleif)
Dawnstar_Quest07			|Thane of the Pale
Dawnstar_Quest08			|Mine Ore (Beitild)
Dawnstar_Quest09			|Mine Ore (Leigelf)
----------------------------------------------------------------------------
Falkreath_Quest00			|A Daedra's Best Friend
Falkreath_Quest01			|Dark Ancestor
Falkreath_Quest02			|Ill Met By Moonlight
Falkreath_Quest03			|Kill the Bandit Leader (Siddgeir)
Falkreath_Quest04			|Chop Firewood (Hert)
Falkreath_Quest05			|Delivery (Thadgeir)
Falkreath_Quest06			|Dungeon Delving (Runil)
Falkreath_Quest07			|Harvest Crops (Mathies)
Falkreath_Quest08			|Rare Gifts (Siddgeir)
Falkreath_Quest09			|Some Light Theft (Dengeir)
Falkreath_Quest10			|Thane of Falkreath
----------------------------------------------------------------------------
Markarth_Quest00			|Bothela's Discreet Delivery
Markarth_Quest01			|Buy Dwarven artifact
Markarth_Quest02			|Coated in Blood
Markarth_Quest03			|Delivery to Calcelmo
Markarth_Quest04			|Kill the Forsworn Leader (Igmund)
Markarth_Quest05			|Lisbet's Missing Shipment
Markarth_Quest06			|Nimhe, the Poisoned One
Markarth_Quest07			|No One Escapes Cidhna Mine
Markarth_Quest08			|Search and Seizure
Markarth_Quest09			|Skilled Apprenticeship
Markarth_Quest10			|The Forsworn Conspiracy
Markarth_Quest11			|The Heart of Dibella I
Markarth_Quest12			|The Heart of Dibella II
Markarth_Quest13			|The House of Horrors
Markarth_Quest14			|The Lost Expedition
Markarth_Quest15			|The Taste of Death (Intro)
Markarth_Quest16			|The Taste of Death
Markarth_Quest17			|A Few Words With You (Omluag)
Markarth_Quest18			|Delivery (Banning)
Markarth_Quest19			|Dungeon Delving (Jarl Igmund)
Markarth_Quest20			|Fight! (Cosnach)
Markarth_Quest21			|Have a Septim (Degaine)
Markarth_Quest22			|Have a drink (Degaine)
Markarth_Quest23			|Have a drink (Cosnach)
Markarth_Quest24			|Thane of the Reach
----------------------------------------------------------------------------
Morthal_Quest00				|Falion's Secret
Morthal_Quest01				|For the Good of Morthal
Morthal_Quest02				|Laid to Rest
Morthal_Quest03				|Chop Firewood (Hroggar)
Morthal_Quest04				|Chop Firewood (Jorgen)
Morthal_Quest05				|Delivery (Idgrod)
Morthal_Quest06				|Fight! (Benor)
